"Original","New","Path","Description","Status"
"metadata_batch_10_20250819_093634.json","merge-date-enriched-batch10-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase4 Date Merge - Batch 10","Success"
"metadata_batch_1_20250819_083311.json","merge-date-enriched-batch1-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase4 Date Merge - Batch 1","Success"
"metadata_batch_2_20250819_083515.json","merge-date-enriched-batch2-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase4 Date Merge - Batch 2","Success"
"metadata_batch_3_20250819_083713.json","merge-date-enriched-batch3-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase4 Date Merge - Batch 3","Success"
"metadata_batch_4_20250819_084335.json","merge-date-enriched-batch4-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase4 Date Merge - Batch 4","Success"
"metadata_batch_5_20250819_084406.json","merge-date-enriched-batch5-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase4 Date Merge - Batch 5","Success"
"metadata_batch_6_20250819_084441.json","merge-date-enriched-batch6-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase4 Date Merge - Batch 6","Success"
"metadata_batch_7_20250819_093506.json","merge-date-enriched-batch7-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase4 Date Merge - Batch 7","Success"
"metadata_batch_8_20250819_093554.json","merge-date-enriched-batch8-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase4 Date Merge - Batch 8","Success"
"metadata_batch_9_20250819_093615.json","merge-date-enriched-batch9-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase4 Date Merge - Batch 9","Success"
"metadata_batch_cleaning_Batched-Statutes_batch_3_batch_7_batch_1_batch_10_batch_6_batch_2_batch_4_batch_9_batch_8_batch_5_2025-08-15.json","cleaning-batched-statutes-all-batches-2025-08-15.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Phase3 Batch Cleaning - All Batches","Success"
"metadata_generated_Batched-Statutes_batch__2025-08-15.json","generated-batched-statutes-all-2025-08-15.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Generated Metadata - All Batches","Success"
"metadata_split_Batched-Statutes_batch__2025-08-15.json","split-batched-statutes-all-2025-08-15.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Split Processing - All Batches","Success"
"metadata_pakistan_validation_validation_Batched-Statutes_batch__all_2025-08-15.json","validation-batched-statutes-all-2025-08-15.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Pakistan Validation - All Batches","Success"
"metadata_pakistan_validation_validation_Batched-Statutes_batch__batches_1_2025-08-15.json","validation-batched-statutes-batch1-2025-08-15.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Pakistan Validation - Batch 1","Success"
"metadata_Statutes_raw_statutes_to_normalised_2025-08-14_19-43-22.json","normalization-statutes-raw-to-normalized-2025-08-14.json","D:\DigiFloat\LawChronicle\backend\app\api\metadata","Database Normalization - Raw to Normalized","Success"
"metadata_batch_1_20250819_061559.json","merge-date-enriched-batch1-2025-08-19.json","D:\DigiFloat\LawChronicle\backend\metadata","Phase4 Date Merge - Batch 1 (Root)","Success"
